,string 1,string 2,string 3,string 4,string 5,string 7,string 8,string 9,string 10,string 11
1,61.41588251260537,19.016560677077756,23.057454554788308,27.11068233216375,65.70885046471717,132.83609939089703,34.02845830671058,28.322487974239486,37.39098770285202,25.69845082053351
2,113.46956431082793,74.34103849268412,34.51333473728669,56.863902667530816,456.19086343047917,578.1191703052365,49.586130996514925,41.067260671719175,61.71343784202091,57.10749718591245
3,199.9857035102195,118.74770249867306,67.83721902564027,94.25720297657,1441.688718373652,1199.1572279693844,371.38528194086246,72.06312139832421,103.0212095572055,91.75110873840957
4,198.77235613068567,176.7941177965755,94.20632564045232,147.74701321702355,1103.0221887688342,1305.3829388332747,536.6610791878861,113.8488317255234,170.2941526731769,382.8750803474393
5,170.38819865812172,179.2832529226967,139.12407561380527,230.85822524017559,926.4616441971627,848.0080210349659,567.7286307062933,204.4482625827236,219.73458947990028,494.41824370435677
6,110.62737130679916,133.26161892933584,135.93961689407573,241.95719320112116,,288.75432113591216,519.1222738644083,243.8365711625592,275.4313968916406,547.6120403528529
7,68.33288761842314,59.1842175419888,129.0495921937749,273.67535792685146,,56.88009091084099,253.62583315283894,250.37970493478494,276.348730679217,437.28762045657265
8,27.92163623513046,27.079076714272464,89.18488673938278,351.9470560689912,,,105.74237617077252,183.7596876323238,232.03611265817287,337.8524922269347
9,12.155828988481053,12.886612543625962,64.55408910859157,313.87770388457,,,44.33805668910298,125.74641968977076,494.8622640922929,198.86023516579803
10,,,,147.19430033829053,,,13.236586946617297,77.91478592058685,334.0112533500496,75.55438587221796
11,,,,44.910812154791444,,,,43.42611898262995,119.78066659560785,29.429455469163624
12,,,,21.1457001067299,,,,23.103706678531655,42.18347859139199,18.698191891977707
13,,,,,,,,10.012813921705904,15.883750162194948,6.807541746291851
14,,,,,,,,4.459475597587856,,
